skill,question,expected_answer,difficulty,domain,source,experience_level
Python,What is the difference between a list and a tuple in Python?,"Lists are mutable (can be changed) and defined with square brackets, while tuples are immutable (cannot be changed) and defined with parentheses.",Easy,Backend,InterQill Core Bank,Junior
Python,How do you implement or use lists vs tuples in Python? Provide a typical use case.,"To implement lists vs tuples in Python, you configure settings for Comparing list mutability with tuple immutability properties. In production code, developers write structured calls or components to integrate this pattern seamlessly.",Medium,Backend,InterQill Core Bank,Mid
Python,"What are the performance or security implications of lists vs tuples in Python, and how do you optimize it?","Optimizing lists vs tuples in Python involves tuning configurations for Comparing list mutability with tuple immutability properties. This mitigates resource leaks, minimizes memory consumption, and speeds up query or render loops in heavy applications.",Hard,Backend,InterQill Core Bank,Senior
Python,"What is a common error or bug associated with lists vs tuples in Python, and how do you debug it?","A common issue with lists vs tuples in Python relates to misconfigured references to Comparing list mutability with tuple immutability properties. Debug this by checking logs, using step-through debuggers, and verifying variable scopes.",Medium,Backend,InterQill Core Bank,Mid
Python,How do decorators work in Python and what is their typical use case?,"Decorators wrap a function to modify its behavior without changing its source code. Typical use cases include logging, authentication, and caching.",Medium,Backend,InterQill Core Bank,Mid
Python,How do you implement or use decorators in Python? Provide a typical use case.,"To implement decorators in Python, you configure settings for Wrapping functions to add logic like caching or logging. In production code, developers write structured calls or components to integrate this pattern seamlessly.",Medium,Backend,InterQill Core Bank,Mid
Python,"What are the performance or security implications of decorators in Python, and how do you optimize it?","Optimizing decorators in Python involves tuning configurations for Wrapping functions to add logic like caching or logging. This mitigates resource leaks, minimizes memory consumption, and speeds up query or render loops in heavy applications.",Hard,Backend,InterQill Core Bank,Senior
Python,"What is a common error or bug associated with decorators in Python, and how do you debug it?","A common issue with decorators in Python relates to misconfigured references to Wrapping functions to add logic like caching or logging. Debug this by checking logs, using step-through debuggers, and verifying variable scopes.",Medium,Backend,InterQill Core Bank,Mid
Python,What are generators in Python and how do you use the yield keyword?,"Generators are functions that return an iterator using the yield keyword. They generate values lazily on the fly, making them highly memory-efficient.",Medium,Backend,InterQill Core Bank,Mid
Python,How do you implement or use generators in Python? Provide a typical use case.,"To implement generators in Python, you configure settings for Yielding iterator sequences lazily to save system memory. In production code, developers write structured calls or components to integrate this pattern seamlessly.",Medium,Backend,InterQill Core Bank,Mid
Python,"What are the performance or security implications of generators in Python, and how do you optimize it?","Optimizing generators in Python involves tuning configurations for Yielding iterator sequences lazily to save system memory. This mitigates resource leaks, minimizes memory consumption, and speeds up query or render loops in heavy applications.",Hard,Backend,InterQill Core Bank,Senior
Python,"What is a common error or bug associated with generators in Python, and how do you debug it?","A common issue with generators in Python relates to misconfigured references to Yielding iterator sequences lazily to save system memory. Debug this by checking logs, using step-through debuggers, and verifying variable scopes.",Medium,Backend,InterQill Core Bank,Mid
Python,"Explain inheritance, encapsulation, and polymorphism in Python OOP.",Inheritance allows a child class to inherit attributes from a parent class. Encapsulation hides private variables using double underscores. Polymorphism allows methods to behave differently based on the object class.,Medium,Backend,InterQill Core Bank,Mid
Python,How do you implement or use oop inheritance in Python? Provide a typical use case.,"To implement oop inheritance in Python, you configure settings for Designing classes using inheritance, encapsulation, and interfaces. In production code, developers write structured calls or components to integrate this pattern seamlessly.",Medium,Backend,InterQill Core Bank,Mid
Python,"What are the performance or security implications of oop inheritance in Python, and how do you optimize it?","Optimizing oop inheritance in Python involves tuning configurations for Designing classes using inheritance, encapsulation, and interfaces. This mitigates resource leaks, minimizes memory consumption, and speeds up query or render loops in heavy applications.",Hard,Backend,InterQill Core Bank,Senior
Python,"What is a common error or bug associated with oop inheritance in Python, and how do you debug it?","A common issue with oop inheritance in Python relates to misconfigured references to Designing classes using inheritance, encapsulation, and interfaces. Debug this by checking logs, using step-through debuggers, and verifying variable scopes.",Medium,Backend,InterQill Core Bank,Mid
Python,How does Python handle memory management and garbage collection?,"Python uses reference counting as its primary mechanism. When reference count drops to zero, memory is freed. It also has a cyclic garbage collector to detect reference cycles.",Hard,Backend,InterQill Core Bank,Senior
Python,How do you implement or use memory management in Python? Provide a typical use case.,"To implement memory management in Python, you configure settings for Releasing unused memory using reference counters and GC cycles. In production code, developers write structured calls or components to integrate this pattern seamlessly.",Medium,Backend,InterQill Core Bank,Mid
Python,"What are the performance or security implications of memory management in Python, and how do you optimize it?","Optimizing memory management in Python involves tuning configurations for Releasing unused memory using reference counters and GC cycles. This mitigates resource leaks, minimizes memory consumption, and speeds up query or render loops in heavy applications.",Hard,Backend,InterQill Core Bank,Senior
Python,"What is a common error or bug associated with memory management in Python, and how do you debug it?","A common issue with memory management in Python relates to misconfigured references to Releasing unused memory using reference counters and GC cycles. Debug this by checking logs, using step-through debuggers, and verifying variable scopes.",Medium,Backend,InterQill Core Bank,Mid
Python,What is the Global Interpreter Lock (GIL) and how does it affect multi-threading?,"The GIL is a mutex that allows only one thread to execute Python bytecodes at a time. This prevents multi-core execution for CPU-bound threads, meaning multiprocessing is preferred for CPU-bound tasks.",Hard,Backend,InterQill Core Bank,Senior
Python,How do you implement or use concurrency in Python? Provide a typical use case.,"To implement concurrency in Python, you configure settings for Bypassing GIL limitations using multiprocessing modules in Python. In production code, developers write structured calls or components to integrate this pattern seamlessly.",Medium,Backend,InterQill Core Bank,Mid
Python,"What are the performance or security implications of concurrency in Python, and how do you optimize it?","Optimizing concurrency in Python involves tuning configurations for Bypassing GIL limitations using multiprocessing modules in Python. This mitigates resource leaks, minimizes memory consumption, and speeds up query or render loops in heavy applications.",Hard,Backend,InterQill Core Bank,Senior
Python,"What is a common error or bug associated with concurrency in Python, and how do you debug it?","A common issue with concurrency in Python relates to misconfigured references to Bypassing GIL limitations using multiprocessing modules in Python. Debug this by checking logs, using step-through debuggers, and verifying variable scopes.",Medium,Backend,InterQill Core Bank,Mid
Python,What are list comprehensions and how do they compare to using map/filter?,List comprehensions provide a concise way to create lists. They are generally more readable and slightly faster than map and filter functions.,Easy,Backend,InterQill Core Bank,Junior
Python,How do you implement or use list comprehensions in Python? Provide a typical use case.,"To implement list comprehensions in Python, you configure settings for Creating lists concisely using inline loop syntax. In production code, developers write structured calls or components to integrate this pattern seamlessly.",Medium,Backend,InterQill Core Bank,Mid
Python,"What are the performance or security implications of list comprehensions in Python, and how do you optimize it?","Optimizing list comprehensions in Python involves tuning configurations for Creating lists concisely using inline loop syntax. This mitigates resource leaks, minimizes memory consumption, and speeds up query or render loops in heavy applications.",Hard,Backend,InterQill Core Bank,Senior
Python,"What is a common error or bug associated with list comprehensions in Python, and how do you debug it?","A common issue with list comprehensions in Python relates to misconfigured references to Creating lists concisely using inline loop syntax. Debug this by checking logs, using step-through debuggers, and verifying variable scopes.",Medium,Backend,InterQill Core Bank,Mid
Python,Why do we use virtual environments (venv) in Python development?,"Virtual environments isolate package dependencies for different projects, preventing version conflicts between libraries.",Easy,Backend,InterQill Core Bank,Junior
Python,How do you implement or use virtual environments in Python? Provide a typical use case.,"To implement virtual environments in Python, you configure settings for Isolating project libraries using venv setups. In production code, developers write structured calls or components to integrate this pattern seamlessly.",Medium,Backend,InterQill Core Bank,Mid
Python,"What are the performance or security implications of virtual environments in Python, and how do you optimize it?","Optimizing virtual environments in Python involves tuning configurations for Isolating project libraries using venv setups. This mitigates resource leaks, minimizes memory consumption, and speeds up query or render loops in heavy applications.",Hard,Backend,InterQill Core Bank,Senior
Python,"What is a common error or bug associated with virtual environments in Python, and how do you debug it?","A common issue with virtual environments in Python relates to misconfigured references to Isolating project libraries using venv setups. Debug this by checking logs, using step-through debuggers, and verifying variable scopes.",Medium,Backend,InterQill Core Bank,Mid
Python,How do exceptions and try-except-finally blocks work in Python?,"Try blocks run code that might raise an error. Except blocks catch and handle errors. Finally blocks always execute, usually for cleaning up resources.",Easy,Backend,InterQill Core Bank,Junior
Python,How do you implement or use exceptions in Python? Provide a typical use case.,"To implement exceptions in Python, you configure settings for Handling execution errors using try-except-finally blocks. In production code, developers write structured calls or components to integrate this pattern seamlessly.",Medium,Backend,InterQill Core Bank,Mid
Python,"What are the performance or security implications of exceptions in Python, and how do you optimize it?","Optimizing exceptions in Python involves tuning configurations for Handling execution errors using try-except-finally blocks. This mitigates resource leaks, minimizes memory consumption, and speeds up query or render loops in heavy applications.",Hard,Backend,InterQill Core Bank,Senior
Python,"What is a common error or bug associated with exceptions in Python, and how do you debug it?","A common issue with exceptions in Python relates to misconfigured references to Handling execution errors using try-except-finally blocks. Debug this by checking logs, using step-through debuggers, and verifying variable scopes.",Medium,Backend,InterQill Core Bank,Mid
Python,Explain *args and **kwargs in Python function definitions.,*args allows passing a variable number of non-keyword arguments as a tuple. **kwargs allows passing keyword arguments as a dictionary.,Easy,Backend,InterQill Core Bank,Junior
Python,How do you implement or use args and kwargs in Python? Provide a typical use case.,"To implement args and kwargs in Python, you configure settings for Passing variable length arguments using star prefixes. In production code, developers write structured calls or components to integrate this pattern seamlessly.",Medium,Backend,InterQill Core Bank,Mid
Python,"What are the performance or security implications of args and kwargs in Python, and how do you optimize it?","Optimizing args and kwargs in Python involves tuning configurations for Passing variable length arguments using star prefixes. This mitigates resource leaks, minimizes memory consumption, and speeds up query or render loops in heavy applications.",Hard,Backend,InterQill Core Bank,Senior
Python,"What is a common error or bug associated with args and kwargs in Python, and how do you debug it?","A common issue with args and kwargs in Python relates to misconfigured references to Passing variable length arguments using star prefixes. Debug this by checking logs, using step-through debuggers, and verifying variable scopes.",Medium,Backend,InterQill Core Bank,Mid
Python,What are double underscore (dunder) methods and how do they enable operator overloading?,Dunder methods like __init__ or __str__ are special built-in methods. Implementing __add__ or __len__ allows custom classes to define behavior for operators like + or len().,Medium,Backend,InterQill Core Bank,Mid
Python,How do you implement or use dunder methods in Python? Provide a typical use case.,"To implement dunder methods in Python, you configure settings for Overloading operators using special double underscore methods. In production code, developers write structured calls or components to integrate this pattern seamlessly.",Medium,Backend,InterQill Core Bank,Mid
Python,"What are the performance or security implications of dunder methods in Python, and how do you optimize it?","Optimizing dunder methods in Python involves tuning configurations for Overloading operators using special double underscore methods. This mitigates resource leaks, minimizes memory consumption, and speeds up query or render loops in heavy applications.",Hard,Backend,InterQill Core Bank,Senior
Python,"What is a common error or bug associated with dunder methods in Python, and how do you debug it?","A common issue with dunder methods in Python relates to misconfigured references to Overloading operators using special double underscore methods. Debug this by checking logs, using step-through debuggers, and verifying variable scopes.",Medium,Backend,InterQill Core Bank,Mid
Java,Explain the four core principles of Object-Oriented Programming (OOP) in Java.,"The four principles are Inheritance (subclassing), Polymorphism (overriding/overloading), Encapsulation (private fields with getters/setters), and Abstraction (abstract classes/interfaces).",Easy,Backend,InterQill Core Bank,Junior
